Me [25M] with my sister in law [28F] she makes me feel uncomfortable., 25, M, 28, F, sister in law
Me [21 F] with my boyfriend [27 M] dating for 7 months, he didn't tell me she was his ex., 21, F, 27, M, boyfriend
I'm 25 F and am in an online relationship with 22 M and he catfished me., 25, F, 22, M, 
My [21M] girlfriend [20F] is playing a game of hot and cold, and it's driving me into depression., 21, M, 20, F, girlfriend
I [20M] am having trouble lasting with my new girlfriend [20F], 20, M, 20, F, girlfriend
I [24/f] want to ask my old tutor [22/m] out but I'm terrified of rejection, 24, F, 22, M,
My (24F) boyfriend prefers to hang out in a group than alone with me, 24, F, , , boyfriend
My bf (20M) got upset when I (19F) told him I would be going on vacation with my friend's family on his Birthday., 19, F, 20, M, bf
My (36F) boyfriend (44M) wants an open relationship. Although I am willing to do it, he's unhappy that I'm not more enthusiastic about it., 36, F, 44, M, boyfriend
My husband (30m) cheated on me (29f) with his ex before we got married, he may have a child with her. I'm so lost...., 29, F, 30, M, husband
Me [21 F] with my boyfriend [27 M] dating for 7 months, he hanged out with his ex without telling me, 21, F, 27, M, boyfriend
Me [22 F] with the guy I'm seeing [21 M] for 2 months. He is texting less and less. Am I overreacting in thinking that he is losing interest?, 22, F, 21, M, guy
[Long Post] Me [24M] with my parents [52M][50F]. I don't believe in their religion, my father is emotionally abusive, and I don't know what to do., 24, M, ,,
How does someone go from everything you do is cute" to "I don't want you in my life anymore"?",,,,,
Am I (19f) a priority to my boyfriend (20m) of one year?, 19, F, 20, M, boyfriend
Me [21M] and my girlfriend [20F] almost one year anniversary but constant arguing. Should we continue ?, 21, M, 20, F, girlfriend
Confusing,,,,,
Should I(19M) be concerned for my friend(19F) who describes her boyfriend as the jealous type"", 19, M, 19, F, friend
My [18m] girlfriend [17f] of 8 months has low self esteem and i don't know how to work through it, 18, M, 17, F, girlfriend
Me [20 M] with [18 F] Not Sure Where we Stand, 20, M, 18, F,
Girlfriend of one year was just molested by father, what do I do. Please help me,,,,,
(X-post) I am trying to figure out how to respond to my friends flirting.,,,,,
Me [17M] afraid of what entails in a relationship, 17, M,,,
I [20 M] am beyond frustrated in my relationship [20 F], 20, M, 20, F, 
Why is he like that,,,,,
I [23 F] am seriously considering leaving my fiancé [23 M] of 7 years., 23, F, 23, M, fiancé
I [19f] am having issues with my behaviors towards my boyfriend [26m], 19, F, 26, M, boyfriend
I [21 M] asked if we were dating because I wanted to, she [23 F] said yes and now I have cold feet?!, 21, M, 23, F, 
My [18 M] girlfriend [17 F] of 8 months has low self esteem and idk what to do, 18, M, 17, F, girlfriend
I [22F] want to take my boyfriend [25M] on a romantic date. Help!, 22, F, 25, M, boyfriend
Me [30F] with potential SO [36M] - don't know where we stand, 30, F, 36, M, so
My[40F] Daughter[20F] Is Moving In With Her Boyfriend[21M] Who She Has Only Been Seeing For One Month., 40, F, 20, F, daughter
I [23 F] am seriously considering leaving my fiancé [23 M] of 7 years, 23, F, 23, M, fiancé
I think my [24/F] fiance [36/M] of a year is unsupportive and excludes me. Am I being unfair?, 24, F, 36, M, fiance
I [22M] proposed to my girlfriend [25F]. She's an Aupair in the US until next year. Advice?, 22, M, 25, F, girlfriend
Me [22 M] with my girlfriend [21 F] of two years have been having communication troubles; not sure how to fix, 22, M, 21, F, girlfriend
I[38M] am kinda concerned with my best friend's[35F] daughter[18F]'s new relationship[31M]., 38, M, 35, F, friend
Sick minded people.,,,,,
Is emotional abuse always the end of things?,,,,,
Am I the only one that wants a boyfriend really bad when I'm single but as soon as I get into a relationship I wish I was single??,,,,,
My dad (45M) cheated on my mom (48F) Major rug sweeping happened and now we're (Kids 23-17MMFF) reaping the effects.,,,,,,
